timestamp,temperature_c,humidity_pct,alarm
2026-07-07T17:54:23+00:00,25.13,49.82,False
2026-07-07T17:54:24+00:00,24.68,48.82,False
2026-07-07T17:54:25+00:00,24.35,48.26,False
2026-07-07T17:54:26+00:00,24.37,47.31,False
2026-07-07T17:54:27+00:00,24.37,46.52,False
2026-07-07T17:54:28+00:00,24.33,45.61,False
2026-07-07T17:54:29+00:00,24.19,45.3,False
2026-07-07T17:54:30+00:00,24.48,44.55,False
2026-07-07T17:54:31+00:00,24.47,44.21,False
2026-07-07T17:54:32+00:00,24.71,44.09,False
2026-07-07T17:54:33+00:00,24.65,44.25,False
2026-07-07T17:54:34+00:00,24.76,44.24,False
2026-07-07T17:54:35+00:00,24.51,44.16,False
2026-07-07T17:54:36+00:00,24.41,44.92,False
2026-07-07T17:54:37+00:00,24.47,43.94,False
2026-07-07T17:54:38+00:00,24.93,43.99,False
2026-07-07T17:54:39+00:00,25.07,44.03,False
2026-07-07T17:54:40+00:00,25.29,44.16,False
2026-07-07T17:54:41+00:00,25.05,43.71,False
2026-07-07T17:54:42+00:00,25.28,44.49,False
2026-07-07T17:54:43+00:00,24.92,44.02,False
2026-07-07T17:54:44+00:00,24.61,43.84,False
2026-07-07T17:54:45+00:00,24.58,43.72,False
2026-07-07T17:54:46+00:00,24.99,43.93,False
2026-07-07T17:54:47+00:00,25.05,44.74,False
2026-07-07T17:54:48+00:00,24.82,45.3,False
2026-07-07T17:54:49+00:00,24.89,46.27,False
2026-07-07T17:54:50+00:00,24.47,45.93,False
2026-07-07T17:54:51+00:00,24.83,46.09,False
2026-07-07T17:54:52+00:00,24.37,45.62,False
2026-07-07T17:54:53+00:00,24.09,46.38,False
2026-07-07T17:54:54+00:00,24.56,45.87,False
2026-07-07T17:54:55+00:00,25.02,45.4,False
2026-07-07T17:54:56+00:00,24.85,45.81,False
2026-07-07T17:54:57+00:00,25.33,46.59,False
2026-07-07T17:54:58+00:00,24.94,47.51,False
2026-07-07T17:54:59+00:00,24.59,48.32,False
2026-07-07T17:55:00+00:00,24.15,48.66,False
2026-07-07T17:55:01+00:00,23.8,48.62,False
2026-07-07T17:55:02+00:00,24.28,48.64,False
2026-07-07T17:55:03+00:00,24.21,48.29,False
2026-07-07T17:55:04+00:00,23.81,49.03,False
2026-07-07T17:55:05+00:00,23.4,49.79,False
